,doctor_id,doctor_title,depart,call_num,call_answer_num,recruit_call_num,recruit_call_answer_num,cover_call_num,cover_call_answer_num,effective_call_num,effective_recruit_call_num,effective_cover_call_num,effective_call_time,effective_recrui_call_time,effective_cover_call_time,wechat_send_num,wechat_send_words,wechat_answer_num,wechat_answer_words,wechat_send_days,wechat_answer_days,article_send_num,read_num,article_read_num,effective_read_num,effective_read_time,wenjuan_send_num,effective_wenjuan_num,live_send_num,effective_live_num,effective_live_time,activity_num,offline_visit_num,naxion_time,hzl,effective_channel_num,data_date,index,time
129,1181039,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,4,237,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,2020-07-23,8196.0,1595433600.0
133,1181039,主任医师,神经内科,1,1,0,0,1,1,1,0,1,84,0,84,2,1092,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,1,2020-08-03,9411.0,1596384000.0
138,1177023,副主任医师,神经内科,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-06-11,97.0,1591804800.0
139,1177023,副主任医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-13,228.0,1594569600.0
140,1177023,副主任医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-13,271.0,1589299200.0
144,1177023,副主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,4,1997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-06,1524.0,1593964800.0
145,1177023,副主任医师,神经内科,1,1,0,0,0,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2020-04-20,1577.0,1587312000.0
146,1177023,副主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,4,198,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2020-07-23,2114.0,1595433600.0
147,1177023,副主任医师,神经内科,1,1,0,0,1,1,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-05-25,2253.0,1590336000.0
148,1177023,副主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,3,338,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2020-08-09,2301.0,1596902400.0
150,1177023,副主任医师,神经内科,1,1,0,0,1,1,1,0,1,85,0,85,10,3365,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2020-08-07,2824.0,1596729600.0
152,1177023,副主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,2020-07-21,4422.0,1595260800.0
153,1177023,副主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-21,4926.0,1589990400.0
157,1177023,副主任医师,神经内科,2,2,0,0,2,2,2,0,1,73,0,53,0,0,0,0,0,0,0,2,1,1,29,0,0,0,0,0,0,0,4,0,2,2020-05-18,5734.0,1589731200.0
158,1177023,副主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2020-08-11,5786.0,1597075200.0
160,1177023,副主任医师,神经内科,1,1,0,0,1,1,1,0,1,85,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2020-07-30,6102.0,1596038400.0
161,1177023,副主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,5,395,0,0,1,0,0,1,1,1,34,0,0,0,0,0,0,0,2,0,1,2020-07-14,6537.0,1594656000.0
162,1177023,副主任医师,神经内科,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-31,6570.0,1590854400.0
164,1177023,副主任医师,神经内科,1,1,0,0,1,1,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-06-18,6861.0,1592409600.0
166,1177023,副主任医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-09,7563.0,1588953600.0
167,1177023,副主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2020-08-04,7600.0,1596470400.0
172,1177023,副主任医师,神经内科,1,1,0,0,1,1,1,0,1,75,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2020-07-20,8639.0,1595174400.0
173,1177023,副主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,1,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2020-07-18,8645.0,1595001600.0
175,1177023,副主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,179,0,0,1,0,0,0,0,0,0,0,0,0,1,1260,0,0,10,0,1,2020-07-09,9166.0,1594224000.0
179,1177023,副主任医师,神经内科,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-27,10182.0,1587916800.0
180,1177023,副主任医师,神经内科,7,0,0,0,7,0,0,0,0,0,0,0,6,359,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6,3,2,2020-07-28,10369.0,1595865600.0
182,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,3,152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-06-09,101.0,1591632000.0
183,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,1,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-03-31,118.0,1585584000.0
185,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,179,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-07-09,231.0,1594224000.0
186,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,1,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-05-21,265.0,1589990400.0
187,1178535,主任医师,神经内科,1,1,0,0,1,1,1,0,1,75,0,75,8,3234,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,2020-07-10,405.0,1594310400.0
188,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,148,0,0,1,0,0,2,1,1,211,0,0,0,0,0,0,0,2,10,1,2020-06-01,770.0,1590940800.0
191,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,5,2704,1,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,2020-04-24,1096.0,1587657600.0
192,1178535,主任医师,神经内科,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-07-17,1199.0,1594915200.0
193,1178535,主任医师,神经内科,2,2,0,0,1,1,0,0,0,0,0,0,1,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-05-25,1238.0,1590336000.0
194,1178535,主任医师,神经内科,2,2,0,0,2,2,1,0,1,43,0,43,4,1978,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,2020-07-02,1363.0,1593619200.0
195,1178535,主任医师,神经内科,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-07-27,1429.0,1595779200.0
196,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,1,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-03-27,1570.0,1585238400.0
197,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-08-04,1602.0,1596470400.0
198,1178535,主任医师,神经内科,2,0,0,0,2,0,0,0,0,0,0,0,5,1377,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,10,0,2020-08-07,1610.0,1596729600.0
199,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,3,2345,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-05-27,1920.0,1590508800.0
200,1178535,主任医师,神经内科,1,1,0,0,1,1,1,0,1,71,0,71,1,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,2020-06-04,2071.0,1591200000.0
201,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,6,1480,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,2020-05-14,2082.0,1589385600.0
202,1178535,主任医师,神经内科,1,1,1,1,0,0,1,1,0,165,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2020-03-23,2267.0,1584892800.0
204,1178535,主任医师,神经内科,1,1,0,0,1,1,1,0,1,58,0,58,2,93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,2020-05-11,2612.0,1589126400.0
205,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-04-14,2620.0,1586793600.0
206,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,33,0,0,0,0,0,0,0,2,10,1,2020-05-05,2628.0,1588608000.0
207,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,3,338,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-08-09,2649.0,1596902400.0
209,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-06-22,2920.0,1592755200.0
210,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,4,308,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-07-28,3132.0,1595865600.0
213,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-07-08,3592.0,1594137600.0
215,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-07-24,3981.0,1595520000.0
216,1178535,主任医师,神经内科,1,1,0,0,1,1,1,0,1,42,0,42,3,136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,2020-05-18,4140.0,1589731200.0
217,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,3,132,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-06-30,4590.0,1593446400.0
218,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,2,206,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-06-25,4595.0,1593014400.0
219,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,3,2305,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-04-03,4629.0,1585843200.0
220,1178535,主任医师,神经内科,0,0,0,0,0,0,0,0,0,0,0,0,1,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2020-03-26,4786.0,1585152000.0
